Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield,N_mean,P_mean,K_mean,ph_mean,temperature_mean,humidity_mean,soil_rainfall_mean,NPK_Index,Rainfall_Fert_Ratio,Log_Area,Log_Production,Season_encoded,Crop_encoded,State_encoded
Mesta,2004,Kharif,Chhattisgarh,1360.0,2456.0,1122.8,147342.4,285.6,1.852666667,40.09,48.44,19.87,6.425470922140001,23.988957895200002,65.1184255887,84.766987663,36.13333333333333,0.007620293817028791,7.215975002651466,7.806696372521179,1,26,4
Moong(Green Gram),2004,Kharif,Chhattisgarh,9939.0,2554.0,1122.8,1076791.26,2087.19,0.253125,20.99,47.28,19.87,6.72395694037,28.5257747353,85.49997454300001,48.403600902899996,29.38,0.001042726662986972,9.20432229965062,7.845807502637805,1,27,4
Moong(Green Gram),2004,Rabi,Chhattisgarh,6428.0,1334.0,1122.8,696409.52,1349.88,0.201333333,20.99,47.28,19.87,6.72395694037,28.5257747353,85.49997454300001,48.403600902899996,29.38,0.0016122674309974523,8.768574284141687,7.19668657083435,2,27,4
Niger seed,2004,Kharif,Chhattisgarh,73104.0,12121.0,1122.8,7920087.36,15351.84,0.161538462,40.09,48.44,19.87,6.425470922140001,23.988957895200002,65.1184255887,84.766987663,36.13333333333333,0.0001417660951449284,11.199652042851538,9.402777262511231,1,29,4
Onion,2004,Whole Year,Chhattisgarh,4472.0,27002.0,1122.8,484496.48,939.12,5.0722222225,40.09,48.44,19.87,6.425470922140001,23.988957895200002,65.1184255887,84.766987663,36.13333333333333,0.00231745271409874,8.405814603432848,10.203703249925194,4,31,4
Other  Rabi pulses,2004,Rabi,Chhattisgarh,1393.0,331.0,1122.8,150917.62,292.53,0.9,40.09,48.44,19.87,6.425470922140001,23.988957895200002,65.1184255887,84.766987663,36.13333333333333,0.007439771182641347,7.2399325913204695,5.805134968916488,2,32,4
Other Kharif pulses,2004,Kharif,Chhattisgarh,7220.0,1773.0,1122.8,782214.8,1516.2,0.278125,40.09,48.44,19.87,6.425470922140001,23.988957895200002,65.1184255887,84.766987663,36.13333333333333,0.0014354095123110526,8.884748726451182,7.480992162869525,1,34,4
Peas & beans (Pulses),2004,Rabi,Chhattisgarh,16359.0,5316.0,1122.8,1772334.06,3435.39,0.28625,40.09,48.44,19.87,6.425470922140001,23.988957895200002,65.1184255887,84.766987663,36.13333333333333,0.0006335145229254788,9.702594610156739,8.57866451350434,2,36,4
Potato,2004,Whole Year,Chhattisgarh,10638.0,59892.0,1122.8,1152520.92,2233.98,5.0722222225,40.09,48.44,19.87,6.425470922140001,23.988957895200002,65.1184255887,84.766987663,36.13333333333333,0.0009742114058880546,9.272281773516365,11.000314915838985,4,37,4
Ragi,2004,Kharif,Chhattisgarh,10108.0,2665.0,1122.8,1095100.72,2122.68,0.238181818,40.09,48.44,19.87,6.425470922140001,23.988957895200002,65.1184255887,84.766987663,36.13333333333333,0.0010252928832948961,9.221181395154058,7.888334500738654,1,38,4
Rapeseed &Mustard,2004,Rabi,Chhattisgarh,54501.0,20601.0,1122.8,5904638.34,11445.21,0.363125,40.09,48.44,19.87,6.425470922140001,23.988957895200002,65.1184255887,84.766987663,36.13333333333333,0.00019015555994991558,10.905992677225715,9.933143437443638,2,39,4
Rice,2004,Kharif,Chhattisgarh,185695.0,304705.5,1122.8,24727596.07,49569.2,1.160625,79.89,47.58,39.87,6.425470922140001,23.6893322105,82.2728215389,236.181113594,55.78,4.540675734975489e-05,12.131866206990335,12.627104297204422,1,40,4
